Word,Meaning,Example,Note,Tag,Source,Date
make time for,시간을 내다.,I’ll be sure to make time for you when you visit me.,to put time in one’s schedule for something,to learn,"Lesson 10, SELAA","March 29, 2023 12:38 AM"
don’t mention it,(감사에 대한 대답으로) 별말씀을요!,"Thanks for bringing the cookies, Don’t mention it",You’re welcome,to learn,"Lesson 10, SELAA","March 29, 2023 12:39 AM"
What’s up?,"어떻게 지내니?, 잘 지내니? ((특히 친한 사이에서 쓰는 말))",You never call me anymore. What’s up with that?,What’s going on? What’s new?,to learn,"Lesson 10, SELAA","March 29, 2023 12:40 AM"
from scratch,"아무것도 없는 상태에서, 완전히 처음부터","The house was in such bad shape, they decided to tear it down and re-build it from scratch.",from the beginning; using all fresh ingredients rather than using a prepared mix,to print,"Lesson 10, SELAA","March 29, 2023 12:41 AM"
You can say that again,"(전적인 동의를 나타내며) 내 말이 바로 그 말이야, 정말 그래.",You think our house needs repairs? You can say that again - even our toilet is broken!,I agree with you,to print,"Lesson 10, SELAA","March 29, 2023 12:43 AM"
make a pig of oneself,과식하다,I made a pig of myself by eating four slices of pie.,to eat too much; to overeat,to define,"Lesson 10, SELAA","March 29, 2023 12:44 AM"
overeat,과식하다,,,to define,"Lesson 10, SELAA","March 29, 2023 12:45 AM"
just kidding,롱담이다.,I was just kidding when I said your new orange dress makes you look like a pumpkin.,talking more to get a laugh than anything,to learn,"Lesson 10, SELAA","March 29, 2023 12:45 AM"
go nuts,…에 열광적으로 환영하다.,"When Eminem appeared on stage, everybody went nuts.",to react with great enthusiasm,to define,"Lesson 10, SELAA","March 29, 2023 12:46 AM"
roll up one’s sleeves,"(하기 싫거나 힘든 일에 대해) 팔을 걷고 나서다, 착수하다",You’d better roll up your sleeves and finish your homework.,to prepare to work,to define,"Lesson 10, SELAA","March 29, 2023 12:48 AM"
figure out,<문제 등>을 해결하다,"Ted couldn’t figure out one of his math problems, so he asked his sister for help",t solve; to determine,to learn,"Lesson 10, SELAA","March 29, 2023 12:49 AM"
ballpark figure,견적,"The plumber estimated that it would cost $150 to fix our sink, but that was just a ballpark figure.",an approximate number,to print,"Lesson 10, SELAA","March 29, 2023 12:50 AM"
jump the gun,"너무 성급하게 행동하다, 지나치게 서두르다",Nicole really jumped the gun by writing her acceptance speech before the results of the elections were announced.,to start doing something too soon or ahead of everybody else,to print,"Lesson 10, SELAA","March 29, 2023 12:50 AM"
sit tight,기다리라.,"Sit tight, the doctor will be with you in a few minutes.",to wait patiently,to print,"Lesson 10, SELAA","March 29, 2023 12:52 AM"
resist,"<유혹∙충동∙좋아하는 것 등> 을 물리치다, 참다",I couldn’t resist taking a look in the box. 나는 상자 안을 들여다보지 않고는 견딜 수 없었다,,to define,"Lesson 10, SELAA","March 29, 2023 12:53 AM"
can’t complain,그런대로 괜찮다,"How’s business, Mike? Can’t complain. I sold a lot of computers this month.",Things are going well; I’m fine,to define,"Lesson 11, SELAA","March 30, 2023 12:43 AM"
crunch numbers,복잡한 계산을 하다,"Scott loves to crunch numbers, so he decided to become an accountant.",to perform calculations (especially financial calculations),to define,"Lesson 11, SELAA","March 30, 2023 12:43 AM"
out of the question,"론의할 필요도 없는, 절대 불가능한","My friend Emily wanted me to climb Mount McKinley with her, but I told her it was out of the question.",impossible,to define,"Lesson 11, SELAA","March 30, 2023 12:44 AM"
worth one’s while,"리득이 있는, 시간랑비가 아닌",It would be worth your while to audition for the game show Jeopardy. You’d probably win a lot of money.,worthy of one’s effort or time,to define,"Lesson 11, SELAA","March 30, 2023 12:45 AM"
sweeten the deal,좋은 조건으로 해줄게. 잘 해줄게,IBM offered to sweeten the deal by giving John a company car if he agreed to work for them.,to make an offer more attractive,to define,"Lesson 11, SELAA","March 30, 2023 12:46 AM"
make a living,살기 위해 필요한 돈을 벌다,"May people laugh at him, but Bill actually makes a living selling gourmet dog food.",to earn enough money to support oneself,to define,"Lesson 11, SELAA","March 30, 2023 12:47 AM"
take it or leave it,받아들이든지 말든지 알아서 하라,"The highest salary we can offer you is $50,000 a year - take it or leave it","accept or reject an offer, usually a final one",to define,"Lesson 11, SELAA","March 30, 2023 12:49 AM"
now you’re talking,(상대의 의견에 찬성하며) 그거 좋은 생각이네!,You want to offer me free tickets to the J.Lo concert? Now you’re talking!,you’re saying the right thing,to define,"Lesson 11, SELAA","March 30, 2023 12:50 AM"
drive a hard bargain,강하게 밀어붙여 유리하게 거래하다,"I wanted to pay less for the car, but the salesman drove a hard bargain.",to be tough in negotiating an agreement; to negotiate something in one’s favor,to define,"Lesson 11, SELAA","March 30, 2023 12:50 AM"
get the ball rolling,시작하다,Let’s get the ball rolling on this project. We’ve only got one week to finish it.,to get started,to define,"Lesson 11, SELAA","March 30, 2023 12:51 AM"
ingredient,(음식의) 재료,,,to define,"Lesson 11, SELAA","March 30, 2023 1:02 AM"
seasoned,"경험이 많은, 로련한",,,to define,"Lesson 11, SELAA","March 30, 2023 1:15 AM"
lend a hand,도와주다,Would you mind leading a hand in the garden? We need to finish planting these flowers before it starts raining.,to help,to define,"Lesson 13, SELAA","April 3, 2023 5:36 AM"
all the rage,류행이다.,"At Nate’s high school, salsa dancing is all the rage this year.",the latest fashion; popular right now,to define,"Lesson 13, SELAA","April 3, 2023 5:39 AM"
take a break,휴식하다. (take a rest는 보다 긴시간을 쉬는것),Let’s take a break from our work and go get some ice cream.,to stop and rest from an activity,to define,"Lesson 13, SELAA","April 3, 2023 5:40 AM"
take over,"(⋯을) 넘겨받다, 인계받다","After 11 hours of driving, I was getting tired. Fortunately, my friend offered to take over.",to assume control,to define,"Lesson 13, SELAA","April 3, 2023 5:41 AM"
in good hands,믿을 수 있는 사람에게 맡겨져,You’re in good hands with Tony. He’s excellent driver.,"in good, competent care",to define,"Lesson 13, SELAA","April 3, 2023 5:42 AM"
know someone’s stuff,자기 분야의 지식을 가지다.,Steve has been an auto mechanic for 25 years. He really knows his stuff.,to have an expertise in a field,to define,"Lesson 13, SELAA","April 3, 2023 5:43 AM"
miscellaneous,mɪsəˈleɪniəs / 잡다한,,,to define,BID,"April 3, 2023 5:44 AM"
have a sweet tooth,단것을 좋아하다,No wonder Liz is so overweight. She’s got such a sweet tooth!,an enjoyment of sugary foods,to define,"Lesson 13, SELAA","April 3, 2023 5:45 AM"
lose someone’s touch,"실력이 약해지다, 솜씨가 떨어지다.","I used to make delicious pies, but this one tastes terrible. I think I’ve lost my touch",to no longer be able to something well,to define,"Lesson 13, SELAA","April 3, 2023 5:46 AM"
out of practice,"련습이 부족한, (련습 부족으로) 실력이 떨어진","I used to play tennis every day, but I haven’t played in years. I’m out of practice.",no longer good at doing something,to define,"Lesson 13, SELAA","April 3, 2023 5:47 AM"
pick up,"배우다, 습득하다.",Diana picked up some great new ideas at the workshop,to learn; to acquire,to define,"Lesson 13, SELAA","April 3, 2023 5:48 AM"
assume,<책임∙역할 등> 을 떠맡다,Jim Paton will assume the role of finance director. 짐 패튼이 재무리사 역을 맡을 것이다,,to define,"Lesson 13, SELAA","April 3, 2023 5:48 AM"
acquire,습득하다,Elsa acquired a good knowledge of Chinese. 엘사는 중국어를 꽤 많이 익혔다,acquire something from somebody/something,to define,"Lesson 13, SELAA","April 3, 2023 5:49 AM"
trick of the trade,경험으로 얻은 꾀,My new job will be easier once I learn some tricks of the trade.,Clever shortcuts gained by experience,to define,"Lesson 13, SELAA","April 3, 2023 5:49 AM"
feel free,(주저말고) 그렇게 하십시오,Feel free to interrupt me and ask questions during my lecture.,go ahead and do something; don’t hesitate (to do something),to define,"Lesson 13, SELAA","April 3, 2023 5:50 AM"
get out of the way,"<어려운 일 등>을 처리하다, 끝내놓다","If you ‘are not planning on helping us prepare dinner, please get out of the way. The kitchen is crowded.",to move out of the way; to stop interfering with someone’s plans or activities,to define,"Lesson 13, SELAA","April 3, 2023 5:51 AM"
too many cooks spoil the broth,사공이 많으면 배가 산으로 간다,"You don’t need to help us. We have enough people helping already, and too many cooks spoil the broth",too many people involved in an activity can ruin it,to define,"Lesson 13, SELAA","April 3, 2023 5:53 AM"
call it a night,(시간이 늦어) (그만) 자러 가기로 하다,We spent a few hours walking around downtown Chicago. It was so cold that we were ready to call it a night by nine o’clock.,to stop an activity for the rest of the night,to define,"Lesson 13, SELAA","April 3, 2023 5:54 AM"
work somebody’s tail off,열심히 일하다.,"Bob worked his tail off at the furniture store, but his boss fired him anyway.",to work very hard,to define,"Lesson 13, SELAA","April 3, 2023 5:55 AM"
love at first sight,첫눈에 반하다,Tony liked Tara immediately. It was love at first sight!,an immediate attraction,to define,"Lesson 14, SELAA","April 3, 2023 7:08 PM"
(to be) nuts about,누군가에 미치다. (사랑),We’re just nuts about our new neighbors. We have them over for dinner once a month.,to like very much,to define,"Lesson 14, SELAA","April 3, 2023 7:08 PM"
break up with somebody,<애인>과 헤어지다,"After dating her boyfriend Dan for four years, Erica finally decided to break up with him.",to end a relationship with a romantic partner,to define,"Lesson 14, SELAA","April 3, 2023 7:10 PM"
give me a break,"'적당히 좀 해!', '롱담하지 마시오!' 등의 뜻으로, 믿을 수 없거나 터무니없는 말에 대답하는 말",You want me to pay $3 for one cookie? Give me a break!,that’s ridiculous; that’s outrageous,to define,"Lesson 14, SELAA","April 3, 2023 7:11 PM"
outrageous,aʊtˈreɪdʒəs/ 터무니없는,,,to define,"Lesson 14, SELAA","April 3, 2023 7:12 PM"
crank out,"(짧은 시간 동안) ⋯을 생산하다, 대량생산하다",We just bought a new printer at work. It can crank out 20 pages per minute.,to produce rapidly or in a routine manner,to define,"Lesson 14, SELAA","April 3, 2023 7:12 PM"
head over heels in love,(사랑에) 푹 빠져,"During the first years of their marriage, Brad and Jennifer were head over heels in love with each other.",Very much in love,to define,"Lesson 14, SELAA","April 3, 2023 7:13 PM"
crunch time,결정적인 순간,May is crunch time for many students. It’s when they have their final exams.,a short period when there’s high pressure to achieve a result.,to define,"Lesson 14, SELAA","April 3, 2023 7:14 PM"
(to have a) one-track mind,"머릿속에 한 가지 일밖에 없다, 오로지 한 가지 생각만 하다",Ryan thinks about football all the time. He’s got a one-track mind.,having all thoughts directed to just one thing or activity; focused on just one thing,to define,"Lesson 14, SELAA","April 3, 2023 7:15 PM"
(to) plug away (at something),끈기있게[꾸준히] 해 나가다,"Don’t give up on chemistry class. If you keep plugging away, you will eventually learn the material.",to proceed with a boring or routine task; to keep trying,to define,"Lesson 14, SELAA","April 3, 2023 7:17 PM"
go ahead,그렇게 하시오.,We have more than enough food for dinner. Go ahead and invite your friend to join us.,to continue; to proceed without hesitation,to define,"Lesson 14, SELAA","April 3, 2023 7:18 PM"
treat somebody like dirt,⋯을 개떡같이 대하다,I feel sorry for Jeffrey. The kids at school are very nasty to him. They really treat him like dirt.,to behave in a nasty way towards somebody; to treat someone poorly,to define,"Lesson 14, SELAA","April 3, 2023 7:19 PM"
make out,〘일상어〙 서로 키스하며 애무하다,Ted and Amber started making out at the stoplight and didn’t realize that the light had turned green.,to kiss with much passion,to define,"Lesson 14, SELAA","April 3, 2023 7:21 PM"
pull an all-nighter,밤을 새다,"I’ve got a 20-page paper due tomorrow morning, and I haven’t even started writing it yet. I guess I’ll be pulling an all-nighter!",to stay up all night to do work,to define,"Lesson 15, SELAA","April 4, 2023 5:06 PM"
no wonder,…은 놀랄만한 일이 아니다.,No wonder you’re cold - It’s January and you’re walking around outside without a coat!,it’s not surprising,to define,"Lesson 15, SELAA","April 4, 2023 5:08 PM"
basket case,"〘일상어〙 (긴장∙흥분 등으로) 안절부절못하는 사람, 정신없는 사람","After working 12-hour day and then coming home and cooking dinner for her family, Tanya felt like a basket case.",someone or something in a useless or hopeless condition,to define,"Lesson 15, SELAA","April 4, 2023 5:09 PM"
load off your mind,마음이 한결 가볍다.,Finishing her English essay was a load off Nicole’s mind.,a relief,to define,"Lesson 15, SELAA","April 4, 2023 5:11 PM"
essay,(학생이 과제로 쓰는) 보고서,,,to define,"Lesson 15, SELAA","April 4, 2023 5:11 PM"
nervous wreck,신경쇠약,"Whenever Nicole rides on the back of her friend’s motorcycle, Susan is a nervous wreck.",a person feeling very worried,to define,"Lesson 15, SELAA","April 4, 2023 5:11 PM"
a rule of thumb,"(경험에 근거한) 통상적인 원칙, 통상적으로 말할 수 있는 바","When cooking fish, a good rule of thumb is 10 minutes in the oven for each inch of thickness.",a useful principle,to define,"Lesson 15, SELAA","April 4, 2023 5:12 PM"
conventional wisdom,"통념, 통설","According to conventional wisdom, a diet high in salt can cause high blood pressure.",a widely held belief,to define,"Lesson 15, SELAA","April 4, 2023 5:13 PM"
do the trick,"문제를 해결해주다, 효과가 있다",Juan changed the light bulb and said “That should do the trick!”,to achieve the desired results,to define,"Lesson 15, SELAA","April 4, 2023 5:14 PM"
in reality,실제로는,"Ted thinks it’ll be easy to become a rock star. In reality, it will take years of hard work.",in fact; actually,to define,"Lesson 15, SELAA","April 4, 2023 5:15 PM"
turn off,"…의 흥미를 잃게 하다,","I used to be friends with Monica, but she gossiped all the time and it really turned me off",to cause to feel dislike or revulsion,to define,"Lesson 15, SELAA","April 4, 2023 5:16 PM"
gossiped,"(남의 사생활∙소문 등에 대해) 입방아를 찧다, 뒤소리하다",,,to define,"Lesson 15, SELAA","April 4, 2023 5:17 PM"
(to have a) big head,"자만, 우쭐함",Jenny has such a big head. No wonder nobody wants to be friends with her!,too proud of oneself,to define,"Lesson 15, SELAA","April 4, 2023 5:17 PM"
I’ll say!,"(강조의 뜻으로) 정말 그렇습니다, 물론이죠",Did you enjoy the Madonna concert? I’ll say!,"yes, definitely!",to define,"Lesson 15, SELAA","April 4, 2023 5:18 PM"
convince,,,,to define,,"April 5, 2023 1:36 AM"
compelling,사람을 끌어당기는,There is compelling evidence that she murdered her husband. 그녀가 남편을 살해했다는 유력한 증거가 있다,,to define,BID,"April 5, 2023 1:38 AM"
